district_code,district_name,gram_panchayat_code,gram_panchayat_name,parent_kp_code
164,Mahrajganj,268624,Laukahie,1926
160,Kushinagar,74533,Laukaria,1898
178,Sant Kabir Nagar,269451,Lauki Lala,2091
178,Sant Kabir Nagar,269199,Laukiha,2089
182,Siddharthnagar,269422,Laukiya,2128
160,Kushinagar,267078,Lav Kush Purab Patti,1892
160,Kushinagar,74912,Lawania,1903
181,Shrawasti,87871,Laxmanpur Bazar,2117
160,Kushinagar,74913,Laxmipur,1903
164,Mahrajganj,76384,Laxmipur Deurwa,1928
164,Mahrajganj,77020,Laxmipur Ekdanga,1937
164,Mahrajganj,76749,Laxmipur Khurd,1933
164,Mahrajganj,76385,Laxmipur Mahant,1928
160,Kushinagar,267902,Laxmipur Mahanth,1892
178,Sant Kabir Nagar,269083,Laxmipur Nichaura,2086
164,Mahrajganj,76579,Ledva,1931
129,Bara Banki,52310,Lehdra,1535
164,Mahrajganj,268257,Lehra,1936
129,Bara Banki,52198,Lilauli,1533
147,Gonda,297454,Liloikhurd,1736
129,Bara Banki,52606,Lodhaura,1539
129,Bara Banki,267116,Lodhpurwa,1538
164,Mahrajganj,268721,Lodhsi,1932
160,Kushinagar,74096,Lohar Patti,1891
178,Sant Kabir Nagar,86210,Loharasan,2090
164,Mahrajganj,76750,Loharauli,1933
178,Sant Kabir Nagar,259811,Loharauli Thakurai,2084
129,Bara Banki,268133,Loharpur,1539
129,Bara Banki,269662,Loharpur,1537
182,Siddharthnagar,274071,Lohti,2119
129,Bara Banki,52312,Lohti Jai,1535
182,Siddharthnagar,270412,Lohtime Pipra Khurd,2126
181,Shrawasti,87744,Luxmanpur Itwaria,2115
164,Mahrajganj,76448,Luxmipur Kaithaulia,1929
659,Sambhal,297291,Macharee,1994
129,Bara Banki,52014,Machauchi,1531
160,Kushinagar,74097,Machhariha Daljit Kunwar,1891
182,Siddharthnagar,274086,Madani,2119
129,Bara Banki,51877,Madanpur,1529
179,Bhadohi,86686,Madanpur,2096
179,Bhadohi,266449,Madanpur,2095
164,Mahrajganj,76580,Madanpura,1931
160,Kushinagar,74536,Madar Bindwalia,1898
181,Shrawasti,87615,Madara,2113
164,Mahrajganj,76449,Madaraha Kaktahi,1929
129,Bara Banki,267104,Madarpur,1538
129,Bara Banki,269699,Madarpur Bahadursingh,1537
129,Bara Banki,52471,Madarpur Rosan Zama Khan,1537
181,Shrawasti,87688,Madh Nagar,2114
129,Bara Banki,51795,Madhavpur,1528
147,Gonda,297196,Madhawpur Rai,1741
164,Mahrajganj,76824,Madhonagar,1934
164,Mahrajganj,76752,Madhonagar Urf Turkhiya,1933
160,Kushinagar,74914,Madhopur,1903
178,Sant Kabir Nagar,85729,Madhopur,2083
