district_code,district_name,gram_panchayat_code,gram_panchayat_name,prd_block_name,prd_block_code,lgd_block_name,lgd_block_code
123,Azamgarh,267763,Abhannpatti,HARAIYA,1453,Haraiya,870
118,Agra,42727,Abhaudopura,ACHHNERA,1386,Achhnera,803
141,Farrukhabad,266551,Abhay Pur,KAMALGANJ,1680,Kamalganj,1098
152,Jaunpur,69537,Abhaychand Patti,KARANJA KALA,1811,Karanja Kala,1229
147,Gonda,65650,Abhayipur,PARASPUR,1747,Paraspur,1165
119,Aligarh,43688,Abhaypur Bahlolpur,GANGIRI,1406,Gangiri,823
130,Bareilly,53141,Abhaypur Mahmoodpur,DAMKHAUDA,1547,Damkhauda,965
118,Agra,42776,Abhaypura,AKOLA,1387,Akola,804
118,Agra,42808,Abhaypura,BAH,1388,Bah,805
151,Jalaun,68960,Abhedipur,MAHEVA,1802,Maheva,1220
130,Bareilly,52937,Abheypur Keshonpur,BHOJIPURA,1544,Bhojipura,962
133,Budaun,265149,Abhigaon,MION,1590,Mion,1008
139,Etawah,60473,Abhinaypur Pathakpur,BASREHAR,1661,Basrehar,1079
185,Sultanpur,90911,Abhiyankalan,BHADAIYA,2162,Bhadaiya,1580
186,Unnao,92000,Abhusha,ASOHA,2182,Asoha,1600
159,Kheri,74018,Abhyapur,RAMIA BEHAR,1890,Ramia Behar,1308
134,Bulandshahr,57205,Abrahimpur Junedpur Urf Mozpur,KHURJA,1608,Khurja,1026
154,Amroha,265799,Abu Nasarpur,DHANAURA,1835,Dhanaura,1253
132,Bijnor,55137,Abulfazalpur Khas,KIRATPUR,1575,Kiratpur,993
134,Bulandshahr,57206,Achaja Khurd,KHURJA,1608,Khurja,1026
152,Jaunpur,70561,Achakari,SUJAN GANJ,1825,Sujan Ganj,1243
127,Balrampur,269384,Achakwapur,PACHPEDWA,1512,Pachpedwa,929
162,Lucknow,75706,Achalikhera,MOHANLALGANJ,1917,Mohanlalganj,1335
147,Gonda,65860,Achalpur,WAZIRGANJ,1750,Wazirganj,1168
127,Balrampur,50868,Achalpur Ghat,REHERA BAZAAR,1513,Rehera Bazaar,930
127,Balrampur,50869,Achalpur Roop,REHERA BAZAAR,1513,Rehera Bazaar,930
153,Jhansi,70737,Achausa,BAMAUR,1828,Bamaur,1246
128,Banda,51138,Achhah,BABERU,1517,Baberu,934
175,Rae Bareli,84193,Achhai,SHIVGARH,2062,Shivgarh,1480
123,Azamgarh,271971,Achhichhi,LALGANJ,1456,Lalganj,873
120,Prayagraj,45560,Achhola Uparhar,URUWAN,1432,Uruwan,849
169,Meerut,79139,Achi Khurd,PARIKSHITGARH,1977,Parikshitgarh,1395
170,Mirzapur,79500,Achitpur,JAMALPUR,1984,Jamalpur,1402
120,Prayagraj,270330,Achlupur,HOLAGARH,1418,Holagarh,835
125,Bahraich,49253,Acholaya,PHAKHARPUR,1485,Phakharpur,902
150,Hardoi,68389,Achra Mau,SURSA,1793,Sursa,1211
141,Farrukhabad,266828,Achra Takipur,NAWABGANJ,1682,Nawabganj,1100
159,Kheri,267456,Achroura,ISANAGAR,1880,Isanagar,1298
158,Kaushambi,72762,Adahara,MANJHANPUR,1871,Manjhanpur,1289
159,Kheri,73746,Adalabad,NIGHASAN,1886,Nighasan,1304
163,Hathras,76057,Adalpur,SADABAD,1922,Sadabad,1340
154,Amroha,238917,Adalpur Taj,JOYA,1839,Joya,1257
170,Mirzapur,80060,Adalpura,SHIKHAR,1993,Shikhar,1411
123,Azamgarh,48165,Adampur,SATHIYAON,1467,Sathiyaon,884
124,Baghpat,48569,Adampur,BINAULI,1473,Binauli,890
125,Bahraich,48931,Adampur,JARWAL,1480,Jarwal,897
131,Basti,54388,Adampur,RAMNAGAR,1565,Ramnagar,983
147,Gonda,64934,Adampur,BELSAR,1736,Belsar,1154
150,Hardoi,67991,Adampur,KOTHAWAN,1786,Kothawan,1204
150,Hardoi,68212,Adampur,SANDI,1790,Sandi,1208
150,Hardoi,68448,Adampur,TANDIYAWAN,1794,Tandiyawan,1212
152,Jaunpur,69299,Adampur,BARASATHI,1807,Barasathi,1225
152,Jaunpur,69538,Adampur,KARANJA KALA,1811,Karanja Kala,1229
175,Rae Bareli,83416,Adampur,AMAWAN,2045,Amawan,1463
154,Amroha,238788,Adampur,GANGESHWARI,1837,Gangeshwari,1255
167,Mathura,266444,Adampur,CHHATA,1953,Chhata,1371
168,Mau,270642,Adampur,DOHRI GHAT,1962,Dohri Ghat,1380
186,Unnao,92397,Adampur Barethi,HASANGANJ,2189,Hasanganj,1607
186,Unnao,92398,Adampur Bhansi,HASANGANJ,2189,Hasanganj,1607
159,Kheri,73420,Adampur Devariya,LAKHIMPUR,1882,Lakhimpur,1300
127,Balrampur,50788,Adamtara,PACHPEDWA,1512,Pachpedwa,929
186,Unnao,92649,Adaoli,PURWA,2193,Purwa,1611
186,Unnao,92063,Adaora,AURAS,2183,Auras,1601
168,Mau,78545,Adari,KOPAGANJ,1965,Kopaganj,1383
152,Jaunpur,270809,Adari,MACHCHALI SHAHAR,1814,Machchali Shahar,1232
139,Etawah,266907,Adarpur,TAKHA,1667,Takha,1085
134,Bulandshahr,57269,Adauli,LAKHAOTHI,1609,Lakhaothi,1027
119,Aligarh,43619,Adaun,DHANIPUR,1405,Dhanipur,822
141,Farrukhabad,267529,Addupur Dehamafi,SHAMSABAD,1684,Shamsabad,1102
186,Unnao,92169,Aderwa,BICHHIYA,2185,Bichhiya,1603
159,Kheri,73421,Adha Chat,LAKHIMPUR,1882,Lakhimpur,1300
130,Bareilly,53495,Adhakata Nazrana,NAWABGANJ,1553,Nawabganj,971
134,Bulandshahr,57450,Adhan,SIKANDRABAD,1612,Sikandrabad,1030
121,Ambedkar Nagar,45815,Adhanpur,BHITI,1435,Bhiti,852
158,Kaushambi,72935,Adhaoli,SARSAWAN,1874,Sarsawan,1292
137,Deoria,266744,Adharangi,BAITALPUR,1629,Baitalpur,1047
128,Banda,51375,Adharori,MAHUVA,1522,Mahuva,939
174,Pratapgarh,83227,Adharpur,SANDWA CHANDRIKA,2042,Sandwa Chandrika,1460
142,Fatehpur,62291,Adhauli,DHATA,1691,Dhata,1109
134,Bulandshahr,266122,Adhauli,BULANDSHAHR,1603,Bulandshahr,1021
127,Balrampur,50870,Adhinpur,REHERA BAZAAR,1513,Rehera Bazaar,930
139,Etawah,60622,Adhiyapur,JASWANTNAGAR,1664,Jaswantnagar,1082
140,Ayodhya,61163,Adhiyari,MILKIPUR,1674,Milkipur,1092
173,Pilibhit,81811,Adhkata,BARKHERA,2022,Barkhera,1440
130,Bareilly,267379,Adhkata Brahmnan,FATEHGANJ WEST,1549,Fatehganj West,967
130,Bareilly,52874,Adhkata Rabbni Begam,BHADPURA,1543,Bhadpura,961
130,Bareilly,272331,Adhlakhia,BITHIRI CHAINPUR,1546,Bithiri Chainpur,964
170,Mirzapur,79806,Adhwar,NARAINPUR,1989,Narainpur,1407
177,Saharanpur,85297,Adhyana,NAKUR,2077,Nakur,1495
125,Bahraich,48862,Adil Pur,HUZOORPUR,1479,Huzoorpur,896
175,Rae Bareli,83573,Adilabad,DALMAU,2049,Dalmau,1467
173,Pilibhit,268337,Adilabad Bisalpur,BISALPUR,2024,Bisalpur,1442
158,Kaushambi,72763,Adilpur,MANJHANPUR,1871,Manjhanpur,1289
183,Sitapur,89485,Adilpur,MACHHREHTA,2140,Machhrehta,1558
152,Jaunpur,70203,Adiyar,RAM PUR,1820,Ram Pur,1238
139,Etawah,60529,Adlipur,BHARTHANA,1662,Bharthana,1080
159,Kheri,73250,Adlishpur,DHAURHARA,1879,Dhaurhara,1297
151,Jalaun,69018,Adlispura,NADIGAON,1803,Nadigaon,1221
183,Sitapur,88983,Admalpur,BEHTA,2133,Behta,1551
123,Azamgarh,272113,Adraspur,MOHAMMADPUR,1461,Mohammadpur,878
161,Lalitpur,75132,Adwaha,JAKHAURA,1907,Jakhaura,1325
183,Sitapur,90103,Adwari,SAKRAN,2149,Sakran,1567
150,Hardoi,67539,Aeja,BAWAN,1778,Bawan,1196
180,Shahjahanpur,87079,Aelam Nagar,JALALABAD,2102,Jalalabad,1520
156,Kanpur Dehat,71856,Afasariya,RAJPUR,1854,Rajpur,1272
180,Shahjahanpur,87063,Afatiapur,JALALABAD,2102,Jalalabad,1520
157,Kanpur Nagar,72572,Afjalpur,VIDHUNU,1867,Vidhunu,1285
169,Meerut,78920,Afjalpur Urf Raninagla,HASTINAPUR,1971,Hastinapur,1389
183,Sitapur,89960,Afsariya,RAMPUR MATHURA,2147,Rampur Mathura,1565
183,Sitapur,89738,Afsariya Hussainpur,PAHALA,2144,Pahala,1562
132,Bijnor,270047,Afzalpur Baldani,NOORPUR,1580,Noorpur,998
133,Budaun,266113,Afzalpur Budheti,DAHGAVAN,1584,Dahgavan,1002
154,Amroha,238722,Afzalpur Loot,GAJRAULA,1836,Gajraula,1254
169,Meerut,78962,Afzalpur Pawati,JANIKHURD,1972,Janikhurd,1390
158,Kaushambi,72988,Afzalpur Wari,SIRATHU,1875,Sirathu,1293
131,Basti,53706,Agaee Bhagan,BAHADURPUR,1556,Bahadurpur,974
123,Azamgarh,47392,Agahata,LALGANJ,1456,Lalganj,873
120,Prayagraj,45207,Agahua,PHULPUR,1427,Phulpur,844
152,Jaunpur,69765,Agahuwa,MACHCHALI SHAHAR,1814,Machchali Shahar,1232
174,Pratapgarh,82838,Agai,LALGANJ,2036,Lalganj,1454
185,Sultanpur,91624,Agai,KURWAR,2174,Kurwar,1592
183,Sitapur,89552,Agaiya,MAHMUDABAD,2141,Mahmudabad,1559
150,Hardoi,68321,Agampur Dhurhai,SHAHABAD,1792,Shahabad,1210
125,Bahraich,48999,Agapur,KAISARGANJ,1481,Kaisarganj,898
157,Kanpur Nagar,72407,Agapur,PATARA,1864,Patara,1282
176,Rampur,84540,Agapur,MILAK,2068,Milak,1486
150,Hardoi,68322,Agapur Sardar,SHAHABAD,1792,Shahabad,1210
140,Ayodhya,61164,Agaraba,MILKIPUR,1674,Milkipur,1092
134,Bulandshahr,57451,Agarai,SIKANDRABAD,1612,Sikandrabad,1030
170,Mirzapur,79807,Agarsand,NARAINPUR,1989,Narainpur,1407
167,Mathura,77853,Agaryala,CHAUMUHA,1952,Chaumuha,1370
135,Chandauli,57668,Agastipur,CHAHNIYA,1616,Chahniya,1034
140,Ayodhya,269616,Agathua,SOHAWAL,1676,Sohawal,1094
131,Basti,53707,Agauna,BAHADURPUR,1556,Bahadurpur,974
138,Etah,59520,Agaunapur,ALIGANJ,1645,Aliganj,1063
134,Bulandshahr,56812,Agaura Amirpur,ARANIYA,1601,Araniya,1019
127,Balrampur,50939,Agaya Bujurg,SHRIDUTTGANJ,1514,Shriduttganj,931
127,Balrampur,50940,Agaya Khurd,SHRIDUTTGANJ,1514,Shriduttganj,931
147,Gonda,64985,Agaya Mafi,CHHAPIA,1737,Chhapia,1155
186,Unnao,92828,Agehra,SIKANDARPUR SARAUSI,2196,Sikandarpur Sarausi,1614
159,Kheri,73958,Aggar Buzurg,PHOOLBEHAR,1889,Phoolbehar,1307
137,Deoria,269345,Aghaila,BHATNI,1634,Bhatni,1052
166,Mainpuri,77480,Aghar,JAGEER,1945,Jageer,1363
122,Auraiya,46796,Aghara,SAHAR,1448,Sahar,865
170,Mirzapur,79723,Aghauli,NAGAR (CITY),1988,Nagar (City),1406
175,Rae Bareli,83706,Aghaura,HARCHANDPUR,2052,Harchandpur,1470
137,Deoria,267222,Aghaw,BANKATA,1630,Bankata,1048
170,Mirzapur,79724,Aghwar,NAGAR (CITY),1988,Nagar (City),1406
158,Kaushambi,72764,Agiyouna,MANJHANPUR,1871,Manjhanpur,1289
161,Lalitpur,269796,Agora,MEHRONI,1909,Mehroni,1327
119,Aligarh,43824,Agorana,IGLAS,1408,Iglas,825
155,Kannauj,71420,Agous,UMARDA,1847,Umarda,1265
120,Prayagraj,45208,Agra Patti,PHULPUR,1427,Phulpur,844
163,Hathras,76231,Agrana Jarara,SIKANDRARAO,1925,Sikandrarao,1343
130,Bareilly,53270,Agras,FATEHGANJ WEST,1549,Fatehganj West,967
180,Shahjahanpur,87012,Agrauli,JAITIPUR,2101,Jaitipur,1519
152,Jaunpur,69216,Agraura,BAKSHA,1806,Baksha,1224
123,Azamgarh,47683,Agsara Mustfabad,MIRZAPUR,1460,Mirzapur,877
163,Hathras,76232,Agsauli,SIKANDRARAO,1925,Sikandrarao,1343
134,Bulandshahr,57207,Agwal,KHURJA,1608,Khurja,1026
177,Saharanpur,85603,Agwan Khera,SARSAWAN,2082,Sarsawan,1500
169,Meerut,79140,Agwanpur,PARIKSHITGARH,1977,Parikshitgarh,1395
118,Agra,42930,Agwar Khas,ETMADPUR,1391,Etmadpur,808
156,Kanpur Dehat,71971,Agwasi,SANDALPUR,1856,Sandalpur,1274
185,Sultanpur,91755,Ahada,MOTIGARPUR,2176,Motigarpur,1594
121,Ambedkar Nagar,45615,Ahaitha,AKBARPUR,1433,Akbarpur,850
175,Rae Bareli,83669,Ahal,DIH,2051,Dih,1469
166,Mainpuri,77516,Ahaladpur,KARHAL,1946,Karhal,1364
134,Bulandshahr,56745,Ahamad Nagar Urf Touli,ANUPSHAHR,1600,Anupshahr,1018
186,Unnao,92064,Ahamad Pur Kasimpur,AURAS,2183,Auras,1601
124,Baghpat,48650,Ahamadnagar,KHEKRA,1475,Khekra,892
152,Jaunpur,69912,Ahamadpur,MARIYAHU,1816,Mariyahu,1234
152,Jaunpur,70438,Ahamadpur,SIRKONI,1823,Sirkoni,1241
186,Unnao,272217,Ahamadpur,MIANGANJ,2191,Mianganj,1609
152,Jaunpur,270854,Ahamadpur Gariyaon,MUNGRA BADSHAH PUR,1818,Mungra Badshah Pur,1236
124,Baghpat,48470,Ahamadpur Gathina,BAGHPAT,1471,Baghpat,888
124,Baghpat,48471,Ahamadshahpur Padra,BAGHPAT,1471,Baghpat,888
130,Bareilly,53496,Ahamdabad,NAWABGANJ,1553,Nawabganj,971
176,Rampur,84659,Ahamdabad,SAIDNAGAR,2069,Saidnagar,1487
186,Unnao,92280,Ahamdabad Mathar,FATEHPUR CHAURASI,2187,Fatehpur Chaurasi,1605
186,Unnao,92062,Ahamdpur Faijula Nagar,AURAS,2183,Auras,1601
152,Jaunpur,69999,Ahan,MUFTI GANJ,1817,Mufti Ganj,1235
134,Bulandshahr,56746,Ahar Bangar,ANUPSHAHR,1600,Anupshahr,1018
163,Hathras,75981,Aharai,MURSAN,1921,Mursan,1339
138,Etah,59767,Aharai Bichanpur,JAITHARA,1649,Jaithara,1067
187,Varanasi,93463,Aharak,PINDRA,2204,Pindra,1622
156,Kanpur Dehat,71557,Aharauli Ghat Bangar,AMRODHA,1849,Amrodha,1267
174,Pratapgarh,267265,Aharbihar,SANGIPUR,2043,Sangipur,1461
177,Saharanpur,266852,Ahari,SARSAWAN,2082,Sarsawan,1500
152,Jaunpur,69684,Aharpur,KHUTHAN,1813,Khuthan,1231
125,Bahraich,48932,Ahata,JARWAL,1480,Jarwal,897
183,Sitapur,89363,Ahata Kaptan,KHAIRABAD,2138,Khairabad,1556
163,Hathras,75982,Ahbaranpur,MURSAN,1921,Mursan,1339
168,Mau,78280,Ahemadpur Asana,BADRAON,1961,Badraon,1379
150,Hardoi,68148,Ahemi,PIHANI,1789,Pihani,1207
155,Kannauj,71421,Aher,UMARDA,1847,Umarda,1265
124,Baghpat,48472,Ahera,BAGHPAT,1471,Baghpat,888
169,Meerut,78963,Ahera,JANIKHURD,1972,Janikhurd,1390
139,Etawah,60678,Aheripur,MAHEWA,1665,Mahewa,1083
186,Unnao,92467,Ahesha,HILAULI,2190,Hilauli,1608
151,Jalaun,68903,Aheta,MADHOGARH,1801,Madhogarh,1219
121,Ambedkar Nagar,45616,Ahethiya Kisunipur,AKBARPUR,1433,Akbarpur,850
142,Fatehpur,62156,Aheva,BHITAURA,1689,Bhitaura,1107
183,Sitapur,90166,Ahewa,SIDHAULI,2150,Sidhauli,1568
185,Sultanpur,268955,Ahibaranpur,DOSTPUR,2166,Dostpur,1584
120,Prayagraj,272326,Ahibipur,SORAON,1431,Soraon,848
168,Mau,78682,Ahilad,PARDAHA,1967,Pardaha,1385
137,Deoria,58986,Ahilvar Buzurg,DEORIA SADAR,1636,Deoria Sadar,1054
162,Lucknow,75593,Ahindar,MAL,1915,Mal,1333
184,Sonbhadra,90524,Ahir Burawa,MYORPUR,2156,Myorpur,1574
187,Varanasi,93302,Ahiran,HARAHUA,2202,Harahua,1620
158,Kaushambi,72989,Ahirara,SIRATHU,1875,Sirathu,1293
123,Azamgarh,46854,Ahiraula,AHIRAULA,1449,Ahiraula,866
121,Ambedkar Nagar,45893,Ahirauli,BHIYAWAN,1436,Bhiyawan,853
137,Deoria,58870,Ahirauli,BHATNI,1634,Bhatni,1052
147,Gonda,64868,Ahirauli,BABHANJOT,1735,Babhanjot,1153
148,Gorakhpur,66517,Ahirauli,JANGAL KAUDIA,1760,Jangal Kaudia,1178
137,Deoria,241723,Ahirauli,TARKALUA,1644,Tarkalua,1062
148,Gorakhpur,271690,Ahirauli,CAMPIERGANJ,1756,Campierganj,1174
127,Balrampur,50871,Ahirauli Bujurg,REHERA BAZAAR,1513,Rehera Bazaar,930
137,Deoria,59443,Ahirauli Lala,SALEMPUR,1643,Salempur,1061
140,Ayodhya,268685,Ahirauli Saloni,MILKIPUR,1674,Milkipur,1092
137,Deoria,58928,Ahirauli Tiwari,BHATPAR RANI,1635,Bhatpar Rani,1053
148,Gorakhpur,66440,Ahirauli2,GOLA,1759,Gola,1177
147,Gonda,65192,Ahiraulia,ITIATHOK,1740,Itiathok,1158
125,Bahraich,48790,Ahiraura,CHITAURA,1478,Chitaura,895
147,Gonda,65066,Ahiraura,COLONELGANJ,1738,Colonelganj,1156
186,Unnao,92881,Ahirawara,SUMERPUR,2197,Sumerpur,1615
120,Prayagraj,44515,Ahiri,HANDIA,1417,Handia,834
136,Chitrakoot,58378,Ahiri,MAU,1626,Mau,1044
150,Hardoi,67469,Ahiri,AHIRORI,1777,Ahirori,1195
185,Sultanpur,90738,Ahirifiroj Pur,AKHAND NAGAR,2159,Akhand Nagar,1577
152,Jaunpur,69685,Ahiro Parshuraampur,KHUTHAN,1813,Khuthan,1231
150,Hardoi,67470,Ahirori,AHIRORI,1777,Ahirori,1195
152,Jaunpur,69845,Ahirouli,MAHARAJ GANJ,1815,Maharaj Ganj,1233
137,Deoria,58625,Ahirouli Baghel,BANKATA,1630,Bankata,1048
173,Pilibhit,81968,Ahirpura Nagla,BISALPUR,2024,Bisalpur,1442
155,Kannauj,71084,Ahirua Rajaram Pur,CHHIBRAMAU,1840,Chhibramau,1258
166,Mainpuri,77738,Ahirwa,SULTANGANJ,1950,Sultanganj,1368
173,Pilibhit,81969,Ahirwara Must.,BISALPUR,2024,Bisalpur,1442
121,Ambedkar Nagar,45617,Ahiya Kamalpur,AKBARPUR,1433,Akbarpur,850
147,Gonda,65338,Ahiyachet,KATRA BAZAR,1742,Katra Bazar,1160
142,Fatehpur,62357,Ahkari,HASWA,1692,Haswa,1110
127,Balrampur,267228,Ahlaadnagar,HARRIYA SATGHARWA,1511,Harriya Satgharwa,928
121,Ambedkar Nagar,45618,Ahlada,AKBARPUR,1433,Akbarpur,850
139,Etawah,60475,Ahladpur,BASREHAR,1661,Basrehar,1079
134,Bulandshahr,57320,Ahmad Baj,PAHASU,1610,Pahasu,1028
141,Farrukhabad,61866,Ahmad Ganj,SHAMSABAD,1684,Shamsabad,1102
132,Bijnor,267338,Ahmad Khalikpur Balram,NEHTAUR,1579,Nehtaur,997
134,Bulandshahr,56869,Ahmad Nagar,BHAWAN BAHADUR NAGAR,1602,Bhawan Bahadur Nagar,1020
159,Kheri,73359,Ahmad Nagar,KUMBHIGOLA,1881,Kumbhigola,1299
176,Rampur,84660,Ahmad Nagar Kalan,SAIDNAGAR,2069,Saidnagar,1487
176,Rampur,84471,Ahmad Nagar Tarana,CHAMRAON,2067,Chamraon,1485
138,Etah,60225,Ahmadabad,SHITALPUR,1657,Shitalpur,1075
169,Meerut,79141,Ahmadnagar Badhla,PARIKSHITGARH,1977,Parikshitgarh,1395
138,Etah,59948,Ahmadnagar Bamnoi,MAREHRA,1652,Marehra,1070
138,Etah,59768,Ahmadpur,JAITHARA,1649,Jaithara,1067
166,Mainpuri,77301,Ahmadpur,BARNAHAL,1942,Barnahal,1360
141,Farrukhabad,61557,Ahmadpur Devaria,KAMALGANJ,1680,Kamalganj,1098
183,Sitapur,90167,Ahmadpur Jat,SIDHAULI,2150,Sidhauli,1568
166,Mainpuri,77355,Ahmadpur Karuamai,BEWAR,1943,Bewar,1361
177,Saharanpur,85490,Ahmadpur Must,RAMPUR MANIHARAN,2080,Rampur Maniharan,1498
177,Saharanpur,266673,Ahmadpur Sadat,SARSAWAN,2082,Sarsawan,1500
169,Meerut,79075,Ahmadpur Urf Dandoopur,MAWANA KALAN,1975,Mawana Kalan,1393
138,Etah,60148,Ahmadpur Urf Nagala Dhanu,SAKIT,1656,Sakit,1074
186,Unnao,92399,Ahmadpur Wade,HASANGANJ,2189,Hasanganj,1607
169,Meerut,79142,Ahmadpuri Urf Amanpuri,PARIKSHITGARH,1977,Parikshitgarh,1395
170,Mirzapur,79725,Ahmalpur,NAGAR (CITY),1988,Nagar (City),1406
162,Lucknow,75354,Ahmedpur Khera,BAKSHI-KA-TALAB,1911,Bakshi-Ka-Talab,1329
134,Bulandshahr,266188,Ahmedpur Navipur Rampur,KHURJA,1608,Khurja,1026
141,Farrukhabad,61558,Ahmila Pur,KAMALGANJ,1680,Kamalganj,1098
123,Azamgarh,47863,Aho Patti,PALHANI,1463,Palhani,880
152,Jaunpur,69134,Ahopur,BADLA PUR,1805,Badla Pur,1223
186,Unnao,92511,Ahra Dandiya,MIANGANJ,2191,Mianganj,1609
119,Aligarh,43962,Ahraula,KHAIR,1410,Khair,827
153,Jhansi,70738,Ahraura,BAMAUR,1828,Bamaur,1246
176,Rampur,84374,Ahro Zadid,BILASPUR,2066,Bilaspur,1484
134,Bulandshahr,57208,Ahroli,KHURJA,1608,Khurja,1026
170,Mirzapur,79428,Ahugi Kala,HALLIA,1983,Hallia,1401
170,Mirzapur,79429,Ahugi Khurd,HALLIA,1983,Hallia,1401
167,Mathura,77854,Ahuri,CHAUMUHA,1952,Chaumuha,1370
165,Mahoba,77053,Aichana,CHARKHARI,1938,Charkhari,1356
119,Aligarh,43963,Aidalpur,KHAIR,1410,Khair,827
151,Jalaun,68646,Aidalpur,JALAUN,1797,Jalaun,1215
127,Balrampur,50872,Aidha,REHERA BAZAAR,1513,Rehera Bazaar,930
118,Agra,42969,Aie,FATEHABAD,1392,Fatehabad,809
175,Rae Bareli,83574,Aihar,DALMAU,2049,Dalmau,1467
150,Hardoi,67471,Aikghara Maghola,AHIRORI,1777,Ahirori,1195
131,Basti,54005,Aila Kala,GAUR,1560,Gaur,978
