block_code,block_name,district_code,tehsil_code,tehsil_name,resolution,source
940,Naraini,128,873,Atarra,derived_village,village_gram_panchayat_mapping.csv
940,Naraini,128,874,Naraini,derived_village,village_gram_panchayat_mapping.csv
941,Tindwari,128,871,Banda,derived_village,village_gram_panchayat_mapping.csv
941,Tindwari,128,6157,Pailani,derived_village,village_gram_panchayat_mapping.csv
942,Bani Kodar,129,900,Ramsanehighat,derived_village,village_gram_panchayat_mapping.csv
943,Banki,129,898,Nawabganj,derived_village,village_gram_panchayat_mapping.csv
944,Dariyabad,129,899,Sirauli Gauspur,derived_village,village_gram_panchayat_mapping.csv
944,Dariyabad,129,900,Ramsanehighat,derived_village,village_gram_panchayat_mapping.csv
945,Dewa,129,898,Nawabganj,derived_village,village_gram_panchayat_mapping.csv
946,Fatehpur,129,896,Fatehpur,derived_village,village_gram_panchayat_mapping.csv
947,Haidargarh,129,901,Haidergarh,derived_village,village_gram_panchayat_mapping.csv
948,Harakh,129,898,Nawabganj,derived_village,village_gram_panchayat_mapping.csv
949,Masauli,129,898,Nawabganj,derived_village,village_gram_panchayat_mapping.csv
951,Nindaura,129,896,Fatehpur,derived_village,village_gram_panchayat_mapping.csv
952,Puredalai,129,899,Sirauli Gauspur,derived_village,village_gram_panchayat_mapping.csv
952,Puredalai,129,900,Ramsanehighat,derived_village,village_gram_panchayat_mapping.csv
953,Ramnagar,129,897,Ramnagar,derived_village,village_gram_panchayat_mapping.csv
953,Ramnagar,129,899,Sirauli Gauspur,derived_village,village_gram_panchayat_mapping.csv
954,Rudauli,140,902,Rudauli,derived_village,village_gram_panchayat_mapping.csv
955,Sidhaur,129,901,Haidergarh,derived_village,village_gram_panchayat_mapping.csv
956,Sirauli Gauspur,129,897,Ramnagar,derived_village,village_gram_panchayat_mapping.csv
956,Sirauli Gauspur,129,899,Sirauli Gauspur,derived_village,village_gram_panchayat_mapping.csv
957,Suratganj,129,896,Fatehpur,derived_village,village_gram_panchayat_mapping.csv
957,Suratganj,129,897,Ramnagar,derived_village,village_gram_panchayat_mapping.csv
958,Trivediganj,129,901,Haidergarh,derived_village,village_gram_panchayat_mapping.csv
959,Aalampur Jafarabad,130,786,Aonla,derived_village,village_gram_panchayat_mapping.csv
960,Baheri,130,784,Baheri,derived_village,village_gram_panchayat_mapping.csv
961,Bhadpura,130,788,Nawabganj,derived_village,village_gram_panchayat_mapping.csv
962,Bhojipura,130,785,Meerganj,derived_village,village_gram_panchayat_mapping.csv
962,Bhojipura,130,787,Bareilly,derived_village,village_gram_panchayat_mapping.csv
963,Bhuta,130,789,Faridpur,derived_village,village_gram_panchayat_mapping.csv
964,Bithiri Chainpur,130,787,Bareilly,derived_village,village_gram_panchayat_mapping.csv
965,Damkhauda,130,784,Baheri,derived_village,village_gram_panchayat_mapping.csv
966,Faridpur,130,789,Faridpur,derived_village,village_gram_panchayat_mapping.csv
967,Fatehganj West,130,785,Meerganj,derived_village,village_gram_panchayat_mapping.csv
967,Fatehganj West,130,787,Bareilly,derived_village,village_gram_panchayat_mapping.csv
