district_code,gram_panchayat_code,block_code,resolution
118,43177,813,exact_name
118,43178,813,exact_name
118,43179,813,exact_name
118,43180,813,exact_name
118,43181,813,exact_name
118,43182,813,exact_name
118,43183,813,exact_name
118,43184,813,exact_name
118,43185,813,exact_name
118,43186,813,exact_name
118,241774,814,exact_name
118,265459,814,exact_name
118,274051,814,exact_name
118,43187,814,exact_name
118,43188,814,exact_name
118,43189,814,exact_name
118,43190,814,exact_name
118,43191,814,exact_name
118,43192,814,exact_name
118,43193,814,exact_name
118,43194,814,exact_name
118,43195,814,exact_name
118,43197,814,exact_name
118,43198,814,exact_name
118,43199,814,exact_name
118,43200,814,exact_name
118,43201,814,exact_name
118,43202,814,exact_name
118,43203,814,exact_name
118,43204,814,exact_name
118,43205,814,exact_name
118,43206,814,exact_name
118,43207,814,exact_name
118,43208,814,exact_name
118,43209,814,exact_name
118,43210,814,exact_name
118,43211,814,exact_name
118,43212,814,exact_name
118,43213,814,exact_name
118,43214,814,exact_name
118,43215,814,exact_name
118,43216,814,exact_name
118,43217,814,exact_name
118,43218,814,exact_name
118,43219,814,exact_name
118,43220,814,exact_name
118,265537,815,exact_name
118,265538,815,exact_name
118,274052,815,exact_name
118,43221,815,exact_name
118,43222,815,exact_name
118,43223,815,exact_name
118,43224,815,exact_name
118,43225,815,exact_name
118,43226,815,exact_name
118,43227,815,exact_name
118,43228,815,exact_name
118,43229,815,exact_name
118,43230,815,exact_name
118,43231,815,exact_name
118,43232,815,exact_name
118,43233,815,exact_name
118,43234,815,exact_name
118,43235,815,exact_name
118,43236,815,exact_name
118,43237,815,exact_name
118,43238,815,exact_name
118,43239,815,exact_name
118,43240,815,exact_name
118,43241,815,exact_name
118,43242,815,exact_name
118,43243,815,exact_name
118,43244,815,exact_name
118,43245,815,exact_name
118,43246,815,exact_name
118,43247,815,exact_name
118,43248,815,exact_name
118,43249,815,exact_name
118,43250,815,exact_name
118,43251,815,exact_name
118,43252,815,exact_name
118,43253,815,exact_name
118,265447,816,exact_name
118,265452,816,exact_name
118,265456,816,exact_name
118,265457,816,exact_name
118,266785,816,exact_name
118,268046,816,exact_name
118,43254,816,exact_name
118,43255,816,exact_name
118,43256,816,exact_name
118,43257,816,exact_name
118,43258,816,exact_name
118,43259,816,exact_name
118,43260,816,exact_name
118,43261,816,exact_name
118,43262,816,exact_name
118,43263,816,exact_name
118,43264,816,exact_name
118,43265,816,exact_name
118,43266,816,exact_name
118,43267,816,exact_name
118,43268,816,exact_name
118,43269,816,exact_name
118,43270,816,exact_name
118,43271,816,exact_name
118,43272,816,exact_name
118,43273,816,exact_name
118,43274,816,exact_name
118,43275,816,exact_name
118,43276,816,exact_name
118,43277,816,exact_name
118,43278,816,exact_name
118,43279,816,exact_name
118,43280,816,exact_name
118,43281,816,exact_name
118,43282,816,exact_name
118,43283,816,exact_name
118,43284,816,exact_name
118,43285,816,exact_name
118,43286,816,exact_name
118,43287,816,exact_name
118,43288,816,exact_name
118,43289,816,exact_name
118,43290,816,exact_name
118,43291,816,exact_name
118,241721,817,exact_name
118,241722,817,exact_name
118,265517,817,exact_name
118,265518,817,exact_name
118,268119,817,exact_name
118,268149,817,exact_name
118,43292,817,exact_name
118,43293,817,exact_name
118,43294,817,exact_name
118,43295,817,exact_name
118,43296,817,exact_name
118,43297,817,exact_name
118,43298,817,exact_name
118,43299,817,exact_name
118,43300,817,exact_name
118,43301,817,exact_name
118,43302,817,exact_name
118,43303,817,exact_name
118,43304,817,exact_name
118,43305,817,exact_name
118,43306,817,exact_name
118,43307,817,exact_name
118,43308,817,exact_name
118,43309,817,exact_name
118,43310,817,exact_name
118,43311,817,exact_name
118,43312,817,exact_name
118,43313,817,exact_name
118,43314,817,exact_name
118,43315,817,exact_name
118,43316,817,exact_name
118,43317,817,exact_name
118,43318,817,exact_name
118,43319,817,exact_name
118,43320,817,exact_name
118,43321,817,exact_name
118,43322,817,exact_name
118,43323,817,exact_name
118,43324,817,exact_name
118,43325,817,exact_name
118,43326,817,exact_name
118,43327,817,exact_name
118,43328,817,exact_name
118,43329,817,exact_name
118,43330,817,exact_name
118,43331,817,exact_name
118,43332,817,exact_name
118,43333,817,exact_name
118,43334,817,exact_name
118,43335,817,exact_name
118,43336,817,exact_name
118,43337,817,exact_name
118,43338,817,exact_name
118,43339,817,exact_name
118,43340,817,exact_name
118,43341,817,exact_name
118,43342,817,exact_name
118,43343,817,exact_name
118,43344,817,exact_name
119,266248,818,exact_name
119,266254,818,exact_name
119,266258,818,exact_name
119,266262,818,exact_name
119,43345,818,exact_name
119,43346,818,exact_name
119,43347,818,exact_name
119,43348,818,exact_name
119,43349,818,exact_name
119,43350,818,exact_name
