district_code,tehsil_code,village_code,village_name,gram_panchayat_code,gram_panchayat_name
146,991,206535,Burhadih,64818,Burhadih
146,988,204203,Burhanpur,64686,Tarawn
146,987,203987,Burnpur,64552,Burnpur
146,987,203884,Buzurga,64289,Buzurga
146,990,205957,Chaimal Pur,64471,Parsa
146,6834,205597,Chaitho Bandh,64708,Chaitho Bandh
146,990,206376,Chak Abbas,63927,Trawn
146,990,206079,Chak Abdal,64484,Sultanpur
146,991,206503,Chak Abdul Hakim,270609,Chak Abdul Hakim
146,990,206082,Chak Abdul Khair,64484,Sultanpur
146,990,206127,Chak Abdul Khalil,64463,Madhupur
146,990,206025,Chak Abdul Khatir Urf Rukhaipu,64441,Doman Pura
146,990,206125,Chak Abdul Kudus,64463,Madhupur
146,987,203929,Chak Abdul Rahim,64532,Arje Kasba Swad
146,987,203930,Chak Abdul Rasul,64532,Arje Kasba Swad
146,6834,205398,Chak Abdul Rasul,64204,Chawanpur Gani
146,989,205087,Chak Abdul Sattar,64026,Khanpur
146,987,203549,Chak Abdul Sattar,64080,Dhamupur
146,989,205058,Chak Abdul Wahab,266573,Chak Abdul Wahab
146,990,205849,Chak Abdulla,64446,Haisi
146,989,204789,Chak Abdulrahman Urf Bamnauli,64788,Jayantidaspur
146,6834,205536,Chak Abutalib,64231,Maheshpur Kalan
146,989,205021,Chak Adal,64047,Mirdadpur
146,991,206480,Chak Afzal,64845,Mahewa
146,990,205847,Chak Ahlahdad,64446,Haisi
146,990,206247,Chak Ahmad Kalan,268611,Chakmahmad Kala
146,990,206143,Chak Ahmad Khurd,63888,Jogamusahib
146,989,204957,Chak Ajam,266506,Badhui Khurd
146,990,206105,Chak Alam,64430,Chak Alam
146,991,206508,Chak Alawal,64838,Kasera Pokhra
146,990,206065,Chak Alawalpur,64458,Kesaw Pur
146,990,206046,Chak Ali Akbar,64452,Jakarauli
146,989,205074,Chak Asamani,64063,Sonhuliya Urf Bakuliyapur
146,991,206487,Chak Asia Urf Khalilanchak,64817,Chakesia Urf Khalilan Chak
146,990,205918,Chak Awartak Muglani,64438,Chhattarpur
146,990,206263,Chak Azmtulla,63900,Machti
146,987,203778,Chak Badre Alam,64337,Agapur
146,6834,205465,Chak Badul,64202,Chak Jainab
146,990,206107,Chak Bahaudden,64414,Adelabad
146,990,206168,Chak Bahauddin Pur,63908,Murtajipur
146,987,203768,Chak Bakar,64290,Chak Bakar
146,6834,205953,Chak Baker Azra,64431,Chakbaker Rajela
146,6834,205343,Chak Baksan,64245,Nagawa
146,991,206616,Chak Baksan,64517,Ramwal
146,990,206353,Chak Bala,63911,Pakhanpuraa
146,991,206498,Chak Bala,64844,Lahuwar
146,990,205717,Chak Bari,64723,Kadi Pur
146,990,205883,Chak Basir,64425,Bhala
146,987,203909,Chak Beni Raipur,64563,Hazipur
146,990,206400,Chak Bhago,63879,Birpur
146,990,206004,Chak Bhanua,64441,Doman Pura
146,989,205081,Chak Bhikhari,64063,Sonhuliya Urf Bakuliyapur
146,990,206354,Chak Bhikhu,63898,Mahashpur Pratham
146,989,205076,Chak Bisambhar,64062,Sohilapur
146,987,203760,Chak Boh,64304,Gurna
146,988,204584,Chak Budasen,63936,Basipur Urf Piari
146,988,204130,Chak Budhsen,64652,Kudhalabi
146,988,204378,Chak Chintaman,64678,Raval
146,991,206424,Chak Chiraiya,64816,Bhagirath Pur
146,990,206407,Chak Chuti,63912,Palia Khurd
146,989,204953,Chak Dallan,64055,Raipur
146,989,204906,Chak Dambar,64382,Jargo Khas
146,989,205232,Chak Damodar,64184,Sikandarpur Uparwar
146,6834,205396,Chak Damodar,64218,Jagdishpur Kala
146,990,206011,Chak Dan,64482,Silaich
146,989,205063,Chak Darab,64023,Biraich
