local_body_type_code,local_body_type,local_body_code,local_body_name,district_code,parent_local_body_code
3,Gram Panchayat,42808,Abhaypura,118,1388
3,Gram Panchayat,68960,Abhedipur,151,1802
3,Gram Panchayat,52937,Abheypur Keshonpur,130,1544
3,Gram Panchayat,265149,Abhigaon,133,1590
3,Gram Panchayat,60473,Abhinaypur Pathakpur,139,1661
3,Gram Panchayat,90911,Abhiyankalan,185,2162
3,Gram Panchayat,92000,Abhusha,186,2182
3,Gram Panchayat,74018,Abhyapur,159,1890
3,Gram Panchayat,57205,Abrahimpur Junedpur Urf Mozpur,134,1608
3,Gram Panchayat,265799,Abu Nasarpur,154,1835
3,Gram Panchayat,55137,Abulfazalpur Khas,132,1575
3,Gram Panchayat,60965,Acchora,140,1670
3,Gram Panchayat,51830,Achaicha,129,1529
3,Gram Panchayat,57206,Achaja Khurd,134,1608
3,Gram Panchayat,70561,Achakari,152,1825
3,Gram Panchayat,269384,Achakwapur,127,1512
3,Gram Panchayat,266923,Achalgarh,164,1929
3,Gram Panchayat,75706,Achalikhera,162,1917
3,Gram Panchayat,65860,Achalpur,147,1750
3,Gram Panchayat,50868,Achalpur Ghat,127,1513
3,Gram Panchayat,50869,Achalpur Roop,127,1513
3,Gram Panchayat,70737,Achausa,153,1828
3,Gram Panchayat,51138,Achhah,128,1517
3,Gram Panchayat,84193,Achhai,175,2062
3,Gram Panchayat,86326,Achhawar,179,2093
3,Gram Panchayat,52272,Achhechha,129,1535
3,Gram Panchayat,271971,Achhichhi,123,1456
3,Gram Panchayat,45560,Achhola Uparhar,120,1432
3,Gram Panchayat,86040,Achhti,178,2088
3,Gram Panchayat,79139,Achi Khurd,169,1977
3,Gram Panchayat,79500,Achitpur,170,1984
3,Gram Panchayat,270330,Achlupur,120,1418
3,Gram Panchayat,49253,Acholaya,125,1485
3,Gram Panchayat,68389,Achra Mau,150,1793
3,Gram Panchayat,266828,Achra Takipur,141,1682
3,Gram Panchayat,267456,Achroura,159,1880
3,Gram Panchayat,72762,Adahara,158,1871
3,Gram Panchayat,73746,Adalabad,159,1886
3,Gram Panchayat,76057,Adalpur,163,1922
3,Gram Panchayat,238917,Adalpur Taj,154,1839
3,Gram Panchayat,80060,Adalpura,170,1993
3,Gram Panchayat,48165,Adampur,123,1467
3,Gram Panchayat,48569,Adampur,124,1473
3,Gram Panchayat,48931,Adampur,125,1480
3,Gram Panchayat,54388,Adampur,131,1565
3,Gram Panchayat,64934,Adampur,147,1736
3,Gram Panchayat,67991,Adampur,150,1786
3,Gram Panchayat,68212,Adampur,150,1790
3,Gram Panchayat,68448,Adampur,150,1794
3,Gram Panchayat,69299,Adampur,152,1807
3,Gram Panchayat,69538,Adampur,152,1811
3,Gram Panchayat,83416,Adampur,175,2045
3,Gram Panchayat,238788,Adampur,154,1837
3,Gram Panchayat,266444,Adampur,167,1953
3,Gram Panchayat,270642,Adampur,168,1962
3,Gram Panchayat,297207,Adampur,171,2000
3,Gram Panchayat,92397,Adampur Barethi,186,2189
3,Gram Panchayat,92398,Adampur Bhansi,186,2189
3,Gram Panchayat,73420,Adampur Devariya,159,1882
3,Gram Panchayat,50788,Adamtara,127,1512
3,Gram Panchayat,92649,Adaoli,186,2193
3,Gram Panchayat,92063,Adaora,186,2183
3,Gram Panchayat,78545,Adari,168,1965
3,Gram Panchayat,270809,Adari,152,1814
3,Gram Panchayat,266907,Adarpur,139,1667
3,Gram Panchayat,57269,Adauli,134,1609
3,Gram Panchayat,43619,Adaun,119,1405
3,Gram Panchayat,76784,Adbadhwa,164,1934
3,Gram Panchayat,267529,Addupur Dehamafi,141,1684
3,Gram Panchayat,92169,Aderwa,186,2185
3,Gram Panchayat,73421,Adha Chat,159,1882
3,Gram Panchayat,53495,Adhakata Nazrana,130,1553
3,Gram Panchayat,57450,Adhan,134,1612
3,Gram Panchayat,45815,Adhanpur,121,1435
3,Gram Panchayat,72935,Adhaoli,158,1874
3,Gram Panchayat,266744,Adharangi,137,1629
3,Gram Panchayat,51375,Adharori,128,1522
3,Gram Panchayat,83227,Adharpur,174,2042
3,Gram Panchayat,62291,Adhauli,142,1691
3,Gram Panchayat,266122,Adhauli,134,1603
3,Gram Panchayat,50870,Adhinpur,127,1513
3,Gram Panchayat,60622,Adhiyapur,139,1664
3,Gram Panchayat,61163,Adhiyari,140,1674
3,Gram Panchayat,81811,Adhkata,173,2022
3,Gram Panchayat,267379,Adhkata Brahmnan,130,1549
3,Gram Panchayat,52874,Adhkata Rabbni Begam,130,1543
3,Gram Panchayat,272331,Adhlakhia,130,1546
3,Gram Panchayat,79806,Adhwar,170,1989
3,Gram Panchayat,85297,Adhyana,177,2077
3,Gram Panchayat,48862,Adil Pur,125,1479
3,Gram Panchayat,83573,Adilabad,175,2049
3,Gram Panchayat,268337,Adilabad Bisalpur,173,2024
3,Gram Panchayat,72763,Adilpur,158,1871
3,Gram Panchayat,89485,Adilpur,183,2140
3,Gram Panchayat,70203,Adiyar,152,1820
3,Gram Panchayat,60529,Adlipur,139,1662
3,Gram Panchayat,73250,Adlishpur,159,1879
3,Gram Panchayat,69018,Adlispura,151,1803
3,Gram Panchayat,88983,Admalpur,183,2133
3,Gram Panchayat,242780,Adra,129,1527
3,Gram Panchayat,272113,Adraspur,123,1461
3,Gram Panchayat,75132,Adwaha,161,1907
3,Gram Panchayat,90103,Adwari,183,2149
3,Gram Panchayat,67539,Aeja,150,1778
3,Gram Panchayat,87714,Aelahwa,181,2115
3,Gram Panchayat,87079,Aelam Nagar,180,2102
3,Gram Panchayat,71856,Afasariya,156,1854
3,Gram Panchayat,87063,Afatiapur,180,2102
3,Gram Panchayat,72572,Afjalpur,157,1867
3,Gram Panchayat,78920,Afjalpur Urf Raninagla,169,1971
3,Gram Panchayat,89960,Afsariya,183,2147
3,Gram Panchayat,89738,Afsariya Hussainpur,183,2144
3,Gram Panchayat,270047,Afzalpur Baldani,132,1580
3,Gram Panchayat,266113,Afzalpur Budheti,133,1584
3,Gram Panchayat,238722,Afzalpur Loot,154,1836
3,Gram Panchayat,78962,Afzalpur Pawati,169,1972
3,Gram Panchayat,72988,Afzalpur Wari,158,1875
3,Gram Panchayat,51692,Agaanpur,129,1527
3,Gram Panchayat,52273,Agaanpur,129,1535
3,Gram Panchayat,53706,Agaee Bhagan,131,1556
3,Gram Panchayat,47392,Agahata,123,1456
3,Gram Panchayat,45207,Agahua,120,1427
3,Gram Panchayat,69765,Agahuwa,152,1814
3,Gram Panchayat,82838,Agai,174,2036
3,Gram Panchayat,91624,Agai,185,2174
3,Gram Panchayat,89552,Agaiya,183,2141
3,Gram Panchayat,68321,Agampur Dhurhai,150,1792
3,Gram Panchayat,48999,Agapur,125,1481
3,Gram Panchayat,72407,Agapur,157,1864
3,Gram Panchayat,84540,Agapur,176,2068
3,Gram Panchayat,68322,Agapur Sardar,150,1792
3,Gram Panchayat,61164,Agaraba,140,1674
3,Gram Panchayat,57451,Agarai,134,1612
3,Gram Panchayat,79807,Agarsand,170,1989
3,Gram Panchayat,77853,Agaryala,167,1952
3,Gram Panchayat,52150,Agasand,129,1533
3,Gram Panchayat,57668,Agastipur,135,1616
3,Gram Panchayat,269616,Agathua,140,1676
3,Gram Panchayat,53707,Agauna,131,1556
3,Gram Panchayat,59520,Agaunapur,138,1645
3,Gram Panchayat,56812,Agaura Amirpur,134,1601
3,Gram Panchayat,267594,Agaya,182,2130
3,Gram Panchayat,50939,Agaya Bujurg,127,1514
3,Gram Panchayat,297480,Agaya Bujurg,147,1735
3,Gram Panchayat,50940,Agaya Khurd,127,1514
3,Gram Panchayat,88126,Agaya Khurd,182,2121
3,Gram Panchayat,64985,Agaya Mafi,147,1737
3,Gram Panchayat,92828,Agehra,186,2196
3,Gram Panchayat,73958,Aggar Buzurg,159,1889
3,Gram Panchayat,269345,Aghaila,137,1634
3,Gram Panchayat,77480,Aghar,166,1945
3,Gram Panchayat,46796,Aghara,122,1448
3,Gram Panchayat,79723,Aghauli,170,1988
3,Gram Panchayat,83706,Aghaura,175,2052
3,Gram Panchayat,267222,Aghaw,137,1630
3,Gram Panchayat,79724,Aghwar,170,1988
3,Gram Panchayat,86173,Agiauna,178,2090
3,Gram Panchayat,72764,Agiyouna,158,1871
3,Gram Panchayat,269796,Agora,161,1909
3,Gram Panchayat,43824,Agorana,119,1408
3,Gram Panchayat,71420,Agous,155,1847
3,Gram Panchayat,45208,Agra Patti,120,1427
3,Gram Panchayat,76231,Agrana Jarara,163,1925
3,Gram Panchayat,53270,Agras,130,1549
3,Gram Panchayat,87012,Agrauli,180,2101
3,Gram Panchayat,69216,Agraura,152,1806
3,Gram Panchayat,47683,Agsara Mustfabad,123,1460
3,Gram Panchayat,76232,Agsauli,163,1925
3,Gram Panchayat,57207,Agwal,134,1608
3,Gram Panchayat,85603,Agwan Khera,177,2082
3,Gram Panchayat,79140,Agwanpur,169,1977
3,Gram Panchayat,42930,Agwar Khas,118,1391
3,Gram Panchayat,71971,Agwasi,156,1856
3,Gram Panchayat,76487,Agya,164,1930
3,Gram Panchayat,76925,Agya,164,1936
3,Gram Panchayat,91755,Ahada,185,2176
3,Gram Panchayat,45615,Ahaitha,121,1433
3,Gram Panchayat,43887,Ahak,119,1409
3,Gram Panchayat,83669,Ahal,175,2051
3,Gram Panchayat,77516,Ahaladpur,166,1946
3,Gram Panchayat,56745,Ahamad Nagar Urf Touli,134,1600
3,Gram Panchayat,92064,Ahamad Pur Kasimpur,186,2183
3,Gram Panchayat,48650,Ahamadnagar,124,1475
3,Gram Panchayat,69912,Ahamadpur,152,1816
3,Gram Panchayat,70438,Ahamadpur,152,1823
3,Gram Panchayat,272217,Ahamadpur,186,2191
3,Gram Panchayat,270854,Ahamadpur Gariyaon,152,1818
3,Gram Panchayat,48470,Ahamadpur Gathina,124,1471
3,Gram Panchayat,48471,Ahamadshahpur Padra,124,1471
3,Gram Panchayat,53496,Ahamdabad,130,1553
3,Gram Panchayat,84659,Ahamdabad,176,2069
3,Gram Panchayat,92280,Ahamdabad Mathar,186,2187
3,Gram Panchayat,92062,Ahamdpur Faijula Nagar,186,2183
3,Gram Panchayat,69999,Ahan,152,1817
3,Gram Panchayat,56746,Ahar Bangar,134,1600
3,Gram Panchayat,75981,Aharai,163,1921
3,Gram Panchayat,59767,Aharai Bichanpur,138,1649
3,Gram Panchayat,93463,Aharak,187,2204
3,Gram Panchayat,60967,Aharan Suvansh,140,1670
3,Gram Panchayat,71557,Aharauli Ghat Bangar,156,1849
3,Gram Panchayat,267265,Aharbihar,174,2043
3,Gram Panchayat,88359,Ahari,182,2124
3,Gram Panchayat,266852,Ahari,177,2082
3,Gram Panchayat,69684,Aharpur,152,1813
3,Gram Panchayat,48932,Ahata,125,1480
3,Gram Panchayat,89363,Ahata Kaptan,183,2138
3,Gram Panchayat,75982,Ahbaranpur,163,1921
3,Gram Panchayat,78280,Ahemadpur Asana,168,1961
3,Gram Panchayat,68148,Ahemi,150,1789
3,Gram Panchayat,71421,Aher,155,1847
3,Gram Panchayat,48472,Ahera,124,1471
3,Gram Panchayat,78963,Ahera,169,1972
3,Gram Panchayat,60678,Aheripur,139,1665
3,Gram Panchayat,74944,Ahernwa,160,1904
3,Gram Panchayat,92467,Ahesha,186,2190
3,Gram Panchayat,68903,Aheta,151,1801
3,Gram Panchayat,45616,Ahethiya Kisunipur,121,1433
3,Gram Panchayat,62156,Aheva,142,1689
3,Gram Panchayat,90166,Ahewa,183,2150
3,Gram Panchayat,268955,Ahibaranpur,185,2166
3,Gram Panchayat,272326,Ahibipur,120,1431
3,Gram Panchayat,78682,Ahilad,168,1967
3,Gram Panchayat,58986,Ahilvar Buzurg,137,1636
3,Gram Panchayat,75593,Ahindar,162,1915
3,Gram Panchayat,90524,Ahir Burawa,184,2156
3,Gram Panchayat,93302,Ahiran,187,2202
3,Gram Panchayat,72989,Ahirara,158,1875
3,Gram Panchayat,46854,Ahiraula,123,1449
3,Gram Panchayat,87978,Ahiraula,182,2119
3,Gram Panchayat,45893,Ahirauli,121,1436
3,Gram Panchayat,58870,Ahirauli,137,1634
3,Gram Panchayat,64868,Ahirauli,147,1735
3,Gram Panchayat,66517,Ahirauli,148,1760
3,Gram Panchayat,76621,Ahirauli,164,1932
3,Gram Panchayat,241723,Ahirauli,137,1644
3,Gram Panchayat,266683,Ahirauli,160,1891
3,Gram Panchayat,271690,Ahirauli,148,1756
3,Gram Panchayat,50871,Ahirauli Bujurg,127,1513
3,Gram Panchayat,74726,Ahirauli Dan,160,1901
3,Gram Panchayat,271633,Ahirauli Hanuman Singh,160,1903
3,Gram Panchayat,269396,Ahirauli II,178,2091
3,Gram Panchayat,59443,Ahirauli Lala,137,1643
3,Gram Panchayat,274029,Ahirauli Padari,182,2120
3,Gram Panchayat,271632,Ahirauli Raja,160,1903
3,Gram Panchayat,268685,Ahirauli Saloni,140,1674
3,Gram Panchayat,58928,Ahirauli Tiwari,137,1635
3,Gram Panchayat,66440,Ahirauli2,148,1759
3,Gram Panchayat,65192,Ahiraulia,147,1740
3,Gram Panchayat,48790,Ahiraura,125,1478
3,Gram Panchayat,65066,Ahiraura,147,1738
3,Gram Panchayat,92881,Ahirawara,186,2197
3,Gram Panchayat,51917,Ahirgaon,129,1530
3,Gram Panchayat,44515,Ahiri,120,1417
3,Gram Panchayat,58378,Ahiri,136,1626
3,Gram Panchayat,67469,Ahiri,150,1777
3,Gram Panchayat,90738,Ahirifiroj Pur,185,2159
3,Gram Panchayat,69685,Ahiro Parshuraampur,152,1813
3,Gram Panchayat,67470,Ahirori,150,1777
3,Gram Panchayat,69845,Ahirouli,152,1815
3,Gram Panchayat,58625,Ahirouli Baghel,137,1630
3,Gram Panchayat,81968,Ahirpura Nagla,173,2024
3,Gram Panchayat,71084,Ahirua Rajaram Pur,155,1840
3,Gram Panchayat,77738,Ahirwa,166,1950
3,Gram Panchayat,81969,Ahirwara Must.,173,2024
3,Gram Panchayat,45617,Ahiya Kamalpur,121,1433
3,Gram Panchayat,65338,Ahiyachet,147,1742
3,Gram Panchayat,62357,Ahkari,142,1692
3,Gram Panchayat,267228,Ahlaadnagar,127,1511
3,Gram Panchayat,87839,Ahlad Nagar,181,2117
3,Gram Panchayat,45618,Ahlada,121,1433
3,Gram Panchayat,60475,Ahladpur,139,1661
3,Gram Panchayat,57320,Ahmad Baj,134,1610
3,Gram Panchayat,61866,Ahmad Ganj,141,1684
3,Gram Panchayat,267338,Ahmad Khalikpur Balram,132,1579
3,Gram Panchayat,56869,Ahmad Nagar,134,1602
3,Gram Panchayat,73359,Ahmad Nagar,159,1881
3,Gram Panchayat,84660,Ahmad Nagar Kalan,176,2069
3,Gram Panchayat,84471,Ahmad Nagar Tarana,176,2067
3,Gram Panchayat,60225,Ahmadabad,138,1657
3,Gram Panchayat,79141,Ahmadnagar Badhla,169,1977
3,Gram Panchayat,59948,Ahmadnagar Bamnoi,138,1652
3,Gram Panchayat,59768,Ahmadpur,138,1649
3,Gram Panchayat,77301,Ahmadpur,166,1942
3,Gram Panchayat,61557,Ahmadpur Devaria,141,1680
3,Gram Panchayat,90167,Ahmadpur Jat,183,2150
3,Gram Panchayat,77355,Ahmadpur Karuamai,166,1943
3,Gram Panchayat,85490,Ahmadpur Must,177,2080
3,Gram Panchayat,266673,Ahmadpur Sadat,177,2082
3,Gram Panchayat,79075,Ahmadpur Urf Dandoopur,169,1975
3,Gram Panchayat,60148,Ahmadpur Urf Nagala Dhanu,138,1656
3,Gram Panchayat,92399,Ahmadpur Wade,186,2189
3,Gram Panchayat,79142,Ahmadpuri Urf Amanpuri,169,1977
3,Gram Panchayat,79725,Ahmalpur,170,1988
3,Gram Panchayat,51567,Ahmedpur,129,1525
3,Gram Panchayat,75354,Ahmedpur Khera,162,1911
3,Gram Panchayat,266188,Ahmedpur Navipur Rampur,134,1608
3,Gram Panchayat,61558,Ahmila Pur,141,1680
3,Gram Panchayat,47863,Aho Patti,123,1463
3,Gram Panchayat,69134,Ahopur,152,1805
3,Gram Panchayat,92511,Ahra Dandiya,186,2191
3,Gram Panchayat,43962,Ahraula,119,1410
3,Gram Panchayat,70738,Ahraura,153,1828
3,Gram Panchayat,84374,Ahro Zadid,176,2066
3,Gram Panchayat,43888,Ahroli,119,1409
3,Gram Panchayat,57208,Ahroli,134,1608
3,Gram Panchayat,79428,Ahugi Kala,170,1983
3,Gram Panchayat,79429,Ahugi Khurd,170,1983
3,Gram Panchayat,77854,Ahuri,167,1952
3,Gram Panchayat,77053,Aichana,165,1938
3,Gram Panchayat,43963,Aidalpur,119,1410
3,Gram Panchayat,68646,Aidalpur,151,1797
3,Gram Panchayat,50872,Aidha,127,1513
3,Gram Panchayat,42969,Aie,118,1392
3,Gram Panchayat,83574,Aihar,175,2049
3,Gram Panchayat,67471,Aikghara Maghola,150,1777
3,Gram Panchayat,54005,Aila Kala,131,1560
3,Gram Panchayat,78810,Ailakh,168,1969
3,Gram Panchayat,50572,Ailara,127,1509
3,Gram Panchayat,69422,Ailia,152,1809
3,Gram Panchayat,64935,Ailiparsouli,147,1736
3,Gram Panchayat,88909,Ailiya,183,2132
3,Gram Panchayat,72453,Aima,157,1865
3,Gram Panchayat,84325,Aima Jahanmiyan,175,2065
3,Gram Panchayat,82524,Aima Jatupur,174,2031
3,Gram Panchayat,77517,Aimanpur,166,1946
3,Gram Panchayat,84194,Aimapur,175,2062
3,Gram Panchayat,82459,Aimapur Bindhan,174,2030
3,Gram Panchayat,82033,Aimi,173,2025
3,Gram Panchayat,84541,Aimi,176,2068
3,Gram Panchayat,61232,Aimi Alapur,140,1675
3,Gram Panchayat,75781,Ain,162,1918
3,Gram Panchayat,267914,Aina,130,1550
3,Gram Panchayat,86631,Ainachh,179,2096
3,Gram Panchayat,77888,Ainch,167,1953
3,Gram Panchayat,68390,Aincha Mau,150,1793
3,Gram Panchayat,43964,Ainchana,119,1410
3,Gram Panchayat,84542,Ainchora,176,2068
3,Gram Panchayat,68570,Aindha,151,1796
3,Gram Panchayat,272065,Ainhia,123,1463
3,Gram Panchayat,92512,Aini Khurd,186,2191
3,Gram Panchayat,84543,Ainjan Khera,176,2068
3,Gram Panchayat,62056,Ainjhi,142,1687
3,Gram Panchayat,67298,Ainjhi,149,1773
3,Gram Panchayat,67472,Ainnua Daan Mandi,150,1777
3,Gram Panchayat,268782,Ainth Pur,159,1887
3,Gram Panchayat,271172,Aintha,640,2168
3,Gram Panchayat,266885,Aintha Hussainpur,180,2099
3,Gram Panchayat,272474,Aintha Khera,150,1789
3,Gram Panchayat,269717,Ainthapur,180,2109
3,Gram Panchayat,82655,Ainthu,174,2033
3,Gram Panchayat,46323,Ainwa,121,1441
3,Gram Panchayat,68571,Air,151,1796
3,Gram Panchayat,48317,Aira Khurd,123,1469
3,Gram Panchayat,92829,Airabhadiyar,186,2196
3,Gram Panchayat,71150,Airaho,155,1842
3,Gram Panchayat,49059,Airea,125,1482
3,Gram Panchayat,245436,Airwa Tikur,122,1447
3,Gram Panchayat,46759,Airwatikta,122,1447
3,Gram Panchayat,44031,Aisi,119,1411
3,Gram Panchayat,55582,Aisthaijamrudin,132,1580
3,Gram Panchayat,297429,Ajabnagar,147,1750
3,Gram Panchayat,60418,Ajabpur Jhingupur,139,1660
3,Gram Panchayat,57669,Ajagara,135,1616
3,Gram Panchayat,43766,Ajahari,119,1407
3,Gram Panchayat,93464,Ajaipur,187,2204
3,Gram Panchayat,58694,Ajaipura,137,1631
3,Gram Panchayat,92577,Ajaiya Khera,186,2192
3,Gram Panchayat,45894,Ajamalpur,121,1436
3,Gram Panchayat,55583,Ajampur,132,1580
3,Gram Panchayat,265592,Ajampur Jamni Bhan Ahatmali,132,1572
3,Gram Panchayat,62781,Ajampursiloota,143,1699
3,Gram Panchayat,73360,Ajan,159,1881
3,Gram Panchayat,59194,Ajana,137,1639
3,Gram Panchayat,61235,Ajana,140,1675
3,Gram Panchayat,46056,Ajanpara,121,1438
3,Gram Panchayat,46540,Ajanpur,122,1444
3,Gram Panchayat,71916,Ajanpur Idauti,156,1855
3,Gram Panchayat,62293,Ajarauli,142,1691
3,Gram Panchayat,72936,Ajarouli,158,1874
3,Gram Panchayat,52228,Ajayi Mau,129,1534
3,Gram Panchayat,86439,Ajaypur,179,2094
3,Gram Panchayat,266756,Ajdev,132,1574
3,Gram Panchayat,269190,Ajeejpur,185,2170
3,Gram Panchayat,77481,Ajeetganj,166,1945
3,Gram Panchayat,54877,Ajeetpur Dasi,132,1572
3,Gram Panchayat,268977,Ajeetpur Vilah,173,2027
3,Gram Panchayat,73602,Ajehara,159,1884
3,Gram Panchayat,54531,Ajgaiba Jangal,131,1567
3,Gram Panchayat,51754,Ajgana,129,1528
3,Gram Panchayat,47185,Ajgara Mashrfi,123,1453
3,Gram Panchayat,77855,Ajhai Khurd,167,1952
3,Gram Panchayat,297223,Ajhara,659,2004
3,Gram Panchayat,78877,Ajhota,169,1970
3,Gram Panchayat,91625,Ajhuie,185,2174
3,Gram Panchayat,92579,Ajij Pur,186,2192
3,Gram Panchayat,57322,Ajijabad,134,1610
3,Gram Panchayat,49254,Ajijpur,125,1485
3,Gram Panchayat,270214,Ajimnagar,176,2071
3,Gram Panchayat,68839,Ajitapur,151,1800
3,Gram Panchayat,76107,Ajitpur,163,1923
3,Gram Panchayat,90025,Ajjaipur,183,2148
3,Gram Panchayat,43689,Ajmaindher,119,1406
3,Gram Panchayat,272225,Ajmat Gadhi,186,2189
3,Gram Panchayat,62485,Ajmatpur,142,1694
3,Gram Panchayat,83707,Ajmatulla Ganj,175,2052
3,Gram Panchayat,53581,Ajmer,130,1554
3,Gram Panchayat,77100,Ajnar,165,1939
3,Gram Panchayat,68573,Ajnari,151,1796
3,Gram Panchayat,60623,Ajnora,139,1664
3,Gram Panchayat,75013,Ajnora,161,1905
3,Gram Panchayat,70562,Ajo,152,1825
3,Gram Panchayat,270376,Ajoria,137,1635
3,Gram Panchayat,69623,Ajorpur,152,1812
3,Gram Panchayat,69913,Ajosi,152,1816
3,Gram Panchayat,51982,Ajpura,129,1531
3,Gram Panchayat,79005,Ajrara,169,1973
3,Gram Panchayat,61165,Ajrauli,140,1674
3,Gram Panchayat,76108,Ajroi,163,1923
3,Gram Panchayat,55203,Ajupurarani,132,1576
3,Gram Panchayat,73864,Ajwapur,159,1888
3,Gram Panchayat,268954,Ajyora,155,1847
3,Gram Panchayat,72262,Ajyori,157,1861
3,Gram Panchayat,42728,Akabara,118,1386
3,Gram Panchayat,62955,Akabarpur Kutubpur,143,1702
3,Gram Panchayat,67603,Akabarpur Talhu,150,1779
3,Gram Panchayat,271569,Akaichanpur Barelee,183,2139
3,Gram Panchayat,89430,Akaichanpur Tappa,183,2139
3,Gram Panchayat,92882,Akam Pur,186,2197
3,Gram Panchayat,51983,Akan Pur,129,1531
3,Gram Panchayat,71972,Akana,156,1856
3,Gram Panchayat,52565,Akaona,129,1539
3,Gram Panchayat,56870,Akapur Riyana,134,1602
3,Gram Panchayat,267600,Akara,182,2130
3,Gram Panchayat,43345,Akarabad,119,1401
3,Gram Panchayat,87979,Akarahara,182,2119
3,Gram Panchayat,265756,Akarhandoo,162,1913
3,Gram Panchayat,82955,Akaripur,174,2038
3,Gram Panchayat,270413,Akaripur,120,1431
3,Gram Panchayat,71625,Akaru,156,1850
3,Gram Panchayat,77054,Akathauha,165,1938
3,Gram Panchayat,74019,Akathi,159,1890
3,Gram Panchayat,92883,Akathi,186,2197
3,Gram Panchayat,67155,Akauna,149,1770
3,Gram Panchayat,77101,Akauna,165,1939
