local_body_code,district_code,district_name,source
249116,133,Budaun,PMAY-Urban List of ULB
249117,133,Budaun,PMAY-Urban List of ULB
249118,133,Budaun,PMAY-Urban List of ULB
249119,133,Budaun,PMAY-Urban List of ULB
249120,133,Budaun,PMAY-Urban List of ULB
249121,133,Budaun,PMAY-Urban List of ULB
249122,133,Budaun,PMAY-Urban List of ULB
249123,133,Budaun,PMAY-Urban List of ULB
249124,133,Budaun,PMAY-Urban List of ULB
249125,133,Budaun,PMAY-Urban List of ULB
249126,133,Budaun,PMAY-Urban List of ULB
249127,133,Budaun,PMAY-Urban List of ULB
249128,133,Budaun,PMAY-Urban List of ULB
249129,133,Budaun,PMAY-Urban List of ULB
249130,133,Budaun,PMAY-Urban List of ULB
249131,133,Budaun,PMAY-Urban List of ULB
249133,133,Budaun,PMAY-Urban List of ULB
249134,133,Budaun,PMAY-Urban List of ULB
249135,130,Bareilly,PMAY-Urban List of ULB
249136,130,Bareilly,PMAY-Urban List of ULB
249137,130,Bareilly,PMAY-Urban List of ULB
249138,130,Bareilly,PMAY-Urban List of ULB
249139,130,Bareilly,PMAY-Urban List of ULB
249140,130,Bareilly,PMAY-Urban List of ULB
249141,130,Bareilly,PMAY-Urban List of ULB
249142,130,Bareilly,PMAY-Urban List of ULB
249143,130,Bareilly,PMAY-Urban List of ULB
249144,130,Bareilly,PMAY-Urban List of ULB
249145,130,Bareilly,PMAY-Urban List of ULB
249146,130,Bareilly,PMAY-Urban List of ULB
249147,130,Bareilly,PMAY-Urban List of ULB
249149,130,Bareilly,PMAY-Urban List of ULB
249151,130,Bareilly,PMAY-Urban List of ULB
249152,130,Bareilly,PMAY-Urban List of ULB
249153,130,Bareilly,PMAY-Urban List of ULB
249154,130,Bareilly,PMAY-Urban List of ULB
249155,130,Bareilly,PMAY-Urban List of ULB
249156,130,Bareilly,PMAY-Urban List of ULB
249157,173,Pilibhit,PMAY-Urban List of ULB
249158,173,Pilibhit,PMAY-Urban List of ULB
249159,173,Pilibhit,PMAY-Urban List of ULB
249160,173,Pilibhit,PMAY-Urban List of ULB
249161,173,Pilibhit,PMAY-Urban List of ULB
249162,173,Pilibhit,PMAY-Urban List of ULB
249163,173,Pilibhit,PMAY-Urban List of ULB
249164,173,Pilibhit,PMAY-Urban List of ULB
249165,173,Pilibhit,PMAY-Urban List of ULB
249166,180,Shahjahanpur,PMAY-Urban List of ULB
249167,180,Shahjahanpur,PMAY-Urban List of ULB
249168,180,Shahjahanpur,PMAY-Urban List of ULB
249169,180,Shahjahanpur,PMAY-Urban List of ULB
249170,180,Shahjahanpur,PMAY-Urban List of ULB
249173,180,Shahjahanpur,PMAY-Urban List of ULB
249174,180,Shahjahanpur,PMAY-Urban List of ULB
249175,180,Shahjahanpur,PMAY-Urban List of ULB
249176,159,Kheri,PMAY-Urban List of ULB
249177,159,Kheri,PMAY-Urban List of ULB
249178,159,Kheri,PMAY-Urban List of ULB
249179,159,Kheri,PMAY-Urban List of ULB
249180,159,Kheri,PMAY-Urban List of ULB
249181,159,Kheri,PMAY-Urban List of ULB
249182,159,Kheri,PMAY-Urban List of ULB
249183,159,Kheri,PMAY-Urban List of ULB
249184,159,Kheri,PMAY-Urban List of ULB
249185,159,Kheri,PMAY-Urban List of ULB
249186,183,Sitapur,PMAY-Urban List of ULB
249187,183,Sitapur,PMAY-Urban List of ULB
249188,183,Sitapur,PMAY-Urban List of ULB
249189,183,Sitapur,PMAY-Urban List of ULB
249190,183,Sitapur,PMAY-Urban List of ULB
249191,183,Sitapur,PMAY-Urban List of ULB
249192,183,Sitapur,PMAY-Urban List of ULB
249193,183,Sitapur,PMAY-Urban List of ULB
249194,183,Sitapur,PMAY-Urban List of ULB
249195,183,Sitapur,PMAY-Urban List of ULB
249196,183,Sitapur,PMAY-Urban List of ULB
249197,150,Hardoi,PMAY-Urban List of ULB
249198,150,Hardoi,PMAY-Urban List of ULB
249199,150,Hardoi,PMAY-Urban List of ULB
249200,150,Hardoi,PMAY-Urban List of ULB
249201,150,Hardoi,PMAY-Urban List of ULB
249202,150,Hardoi,PMAY-Urban List of ULB
249203,150,Hardoi,PMAY-Urban List of ULB
249204,150,Hardoi,PMAY-Urban List of ULB
249205,150,Hardoi,PMAY-Urban List of ULB
249206,150,Hardoi,PMAY-Urban List of ULB
249207,150,Hardoi,PMAY-Urban List of ULB
