gram_panchayat_code,gram_panchayat_name,district_code,parent_kp_code
93615,Purebariyar,187,2205
62339,Purmai,142,1691
54669,Purshia,131,1568
56586,Qadrabad,133,1595
270655,Qyampur,168,1966
86516,Radai,179,2094
81785,Rafiapur,173,2021
54372,Raghoopur,131,1564
51367,Raghoupur,128,1521
87701,Raghunathpur,181,2114
67132,Raghupur,148,1769
269212,Raghupur,131,1563
63589,Raharwa Kirawali,661,1713
61982,Rahimpur Dharmangadpur,142,1685
244583,Raipur,155,1846
62711,Raipur Bhasraul,142,1697
47852,Raipur Salvahan,123,1462
55384,Raipurberisal,132,1577
54515,Raitha,131,1566
84317,Raja Mau1,640,2064
87754,Rajabipur,181,2115
86520,Rajaipur Z. Sayer,179,2094
64474,Rajapur,146,1728
83405,Rajapur,174,2044
64250,Rajapur Kalan,146,1725
47959,Rajapur Mafi,123,1464
82442,Rajapur Mufreed,174,2029
245543,Rajdepur,146,1722
87888,Rajgurujudpaniya,181,2117
50345,Rajouli,126,1505
242120,Rajpootpur Urf Chiti,180,2107
76610,Rajval,164,1931
93619,Rakhi Navada,187,2205
82640,Ram Nagar,174,2032
73238,Ramapur,159,1878
67770,Ramdaspur,150,1781
265885,Ramgadhwa,187,2200
47236,Ramgarh,123,1453
43939,Ramgarh Panjoopur,119,1409
53988,Ramnagar,131,1559
74431,Ramnagar,160,1896
91097,Ramnagar,185,2165
243383,Ramnagar (Amaut),187,2204
60206,Ramnagar Sonhar,138,1656
50066,Rampur,126,1500
50347,Rampur,126,1505
53770,Rampur,131,1556
74853,Rampur,160,1902
79580,Rampur,170,1984
79716,Rampur,170,1987
81479,Rampur,172,2015
86416,Rampur,179,2093
87053,Rampur,180,2101
265879,Rampur,187,2200
270762,Rampur,123,1451
83219,Rampur Bawli,174,2041
47237,Rampur Dewara,123,1453
66581,Rampur Kaithwalia,148,277620
87757,Rampur Kakra,181,2115
66712,Rampur Panday,148,1762
238642,Rampur Safed Bag,154,1834
77421,Rampur Saidpur,166,1943
45717,Rampur Sakarwari,121,1433
46305,Rampur Saray,121,1440
271214,Rampur Upadhyaya,164,1935
49187,Rampurwa,125,1483
64627,Ramrepur,146,1731
54941,Ramthera,132,1572
64517,Ramwal,146,1729
54080,Ramwapur,131,1560
54228,Ramwapur Kala,131,1562
66584,Ranadeeh,148,277620
45958,Randauli,121,1436
77619,Rangpur,166,1947
53933,Ranipur,131,1558
54376,Ranipur,131,1564
77040,Ranipur,164,1937
78155,Rankoli,167,1958
