local_body_type_code,local_body_type,local_body_code,local_body_name
7,Town Panchayat,249245,Parsadepur
7,Town Panchayat,297040,Partawal
7,Town Panchayat,300782,Pathardewa
7,Town Panchayat,249091,Patiyali
7,Town Panchayat,248977,Patla
7,Town Panchayat,249356,Patti
7,Town Panchayat,297070,Payagpur
7,Town Panchayat,248958,Phalauda
7,Town Panchayat,249271,Phaphund
7,Town Panchayat,249480,Phoolpur
7,Town Panchayat,249368,Phulpur
7,Town Panchayat,249028,Pilkhana
7,Town Panchayat,249073,Pinahat
7,Town Panchayat,249442,Pipiganj
7,Town Panchayat,249446,Pipraich
7,Town Panchayat,249553,Pipri
7,Town Panchayat,297045,Pisawa
7,Town Panchayat,297086,Poorav Pashchim Shareera
7,Town Panchayat,249354,Pratapgarh City
7,Town Panchayat,297087,Prithviganj
7,Town Panchayat,249034,Purdilnagar
7,Town Panchayat,248893,Purquazi
7,Town Panchayat,249226,Purwa
7,Town Panchayat,249000,Rabupura
7,Town Panchayat,249049,Radhakund
7,Town Panchayat,249094,Raja Ka Rampur
7,Town Panchayat,249343,Rajapur
7,Town Panchayat,300509,Rajesultanpur
7,Town Panchayat,297037,Rajpur
7,Town Panchayat,299081,Ram Sanehi Ghat
7,Town Panchayat,299012,Ramganj (Pratapgarh)
7,Town Panchayat,249453,Ramkola
7,Town Panchayat,249377,Ramnagar
7,Town Panchayat,297088,Rampur (Jaunpur)
7,Town Panchayat,249459,Rampur Karkhana
7,Town Panchayat,248881,Rampur Maniharan
7,Town Panchayat,249291,Rampura
7,Town Panchayat,277192,Raniganj
7,Town Panchayat,249309,Ranipur
7,Town Panchayat,297089,Raniya
7,Town Panchayat,263352,Rasulabaad(Kanpur Dehat)
7,Town Panchayat,249219,Rasulabaad(Unnao)
7,Town Panchayat,297820,Rataul
7,Town Panchayat,297861,Ratsar Kala
7,Town Panchayat,249047,Raya
7,Town Panchayat,249552,Renukoot
7,Town Panchayat,249500,Reoti
7,Town Panchayat,249137,Richha
7,Town Panchayat,249409,Risia Bazar
7,Town Panchayat,249152,Rithora
7,Town Panchayat,249121,Rudayan
7,Town Panchayat,263359,Rudhauli Bazar
7,Town Panchayat,249461,Rudrapur
7,Town Panchayat,300511,Rupaideeha
7,Town Panchayat,249276,Rura
7,Town Panchayat,249039,Sadabad
7,Town Panchayat,249509,Sadat
7,Town Panchayat,249215,Safipur
7,Town Panchayat,248904,Sahanpur
7,Town Panchayat,248922,Sahaspur
7,Town Panchayat,249499,Sahatwar
7,Town Panchayat,249087,Sahawar
7,Town Panchayat,249443,Sahjanwa
7,Town Panchayat,249040,Sahpau
7,Town Panchayat,297714,Said Nagli
7,Town Panchayat,249119,Saidpur(Badaun)
7,Town Panchayat,249510,Saidpur(Gazipur)
7,Town Panchayat,297090,Saifani
7,Town Panchayat,249153,Sainthal
7,Town Panchayat,249521,Saiyad Raja
7,Town Panchayat,249129,Sakhanu
7,Town Panchayat,249097,Sakit
7,Town Panchayat,249465,Salempur
7,Town Panchayat,249246,Salon
7,Town Panchayat,249253,Samdhan
7,Town Panchayat,300651,Sankisa Basantpur
7,Town Panchayat,249363,Sarai Aquil
7,Town Panchayat,249479,Sarai Mir
7,Town Panchayat,249324,Sarila
7,Town Panchayat,249032,Sasni
