village_code,village_name,district_code,tehsil_code
124972,Jonai,118,768
124799,Jugsena,118,767
124625,Kaboolpur,118,766
124792,Kachaura,118,767
125326,Kachhpura,118,770
940838,Kachi Pura,118,766
125388,Kachora,118,770
124943,Kagarol,118,768
124640,Kahrai,118,766
124641,Kakrari,118,766
940839,Kakretha Ehatmali,118,766
940840,Kakretha Mushatkil,118,766
124621,Kakua,118,766
124658,Kalal Kheria,118,766
125106,Kalayan Pur,118,769
124637,Kalika Nagla,118,766
125259,Kalinjar,118,770
125243,Kaliyanpura,118,770
124692,Kalwari (Ct),118,766
125402,Kalyanpur Mafi,118,770
125368,Kamalpura,118,770
125400,Kamoni,118,770
125352,Kamtari,118,770
125373,Kanaharpura,118,770
124735,Kandau Barau,118,767
125297,Kanera,118,770
125100,Kanharpura,118,769
125212,Kankar Kheda,118,770
124849,Karahara,118,767
125029,Karahi,118,769
124706,Karahi,118,767
125342,Karanpura,118,770
125341,Karanpuri,118,770
125044,Karaudhna,118,769
124878,Karhaki,118,768
125200,Karkoli,118,770
124666,Karmana Ehtmali,118,766
124669,Karmana Mustkil,118,766
124796,Kasoti,118,767
124809,Kathawari,118,767
124887,Kathumari,118,768
124695,Kaulakha (Ct),118,766
125344,Keelpura,118,770
125315,Kenjra,118,770
124960,Kentholi,118,768
124561,Khairaini,118,765
125312,Khajuhapura,118,770
124615,Khal,118,766
124598,Khallauwa,118,766
124483,Khanda,118,765
125163,Khandar,118,769
124572,Khandauli (Ct),118,765
124481,Khandia,118,765
124899,Khankara,118,768
124958,Khanpur,118,768
124748,Khanpur Nithari,118,767
124487,Kharagpur,118,765
125294,Kharagpura,118,770
124811,Kharbai,118,767
125391,Kharik,118,770
124523,Kharkana,118,765
124583,Khaspur Ehtmali,118,766
124584,Khaspur Mustkil,118,766
940841,Khatena,118,766
125268,Kheda Devidass,118,770
125000,Khedia,118,768
124842,Khera Bakanda,118,767
124610,Khera Bhagor,118,766
124725,Khera Jat,118,767
125173,Khera Jawahar,118,769
125337,Khera Rathor,118,770
124785,Khera Sadhan,118,767
940862,Kheragarh,118,768
125209,Kherdanda,118,770
124531,Kheri Aru,118,765
124864,Kheria,118,767
124476,Kheriya Khandauli,118,765
125335,Khetlipura,118,770
125387,Khicharpura,118,770
125397,Khilawali,118,770
124916,Khohara,118,768
125333,Khohri,118,770
125349,Khuliyapura,118,770
